frame_count,sample_time,gps_datetime,latitude,longitude,rel_alt,drone_roll,drone_pitch,drone_yaw,gimbal_pitch,gimbal_yaw
136,4.6046,2026:04:27 12:27:39.605Z,32.1024824936128,35.2096898583682,49.8,-27.2,-1.8,-32.3,-45.3,-24.0
137,4.63796666666667,2026:04:27 12:27:39.638Z,32.1024831179528,35.2096891934328,49.8,-28.2,-1.5,-32.4,-45.3,-24.0
138,4.67133333333333,2026:04:27 12:27:39.671Z,32.1024831179528,35.2096891934328,49.8,-28.2,-1.5,-32.4,-45.3,-24.0
139,4.7047,2026:04:27 12:27:39.705Z,32.1024831179528,35.2096891934328,49.8,-28.2,-1.5,-32.4,-45.3,-24.0
140,4.73806666666667,2026:04:27 12:27:39.738Z,32.1024838518345,35.2096885825821,49.8,-28.3,-1.3,-32.5,-45.3,-24.0
141,4.77143333333333,2026:04:27 12:27:39.771Z,32.1024838518345,35.2096885825821,49.8,-28.3,-1.3,-32.5,-45.3,-24.0
142,4.8048,2026:04:27 12:27:39.805Z,32.1024838518345,35.2096885825821,49.8,-28.3,-1.3,-32.5,-45.3,-24.0
143,4.83816666666667,2026:04:27 12:27:39.838Z,32.1024852374651,35.2096874821893,49.8,-28.3,-1.3,-32.6,-45.3,-24.0
144,4.87153333333333,2026:04:27 12:27:39.872Z,32.1024852374651,35.2096874821893,49.8,-28.3,-1.3,-32.6,-45.3,-24.0
145,4.9049,2026:04:27 12:27:39.905Z,32.1024852374651,35.2096874821893,49.8,-28.3,-1.3,-32.6,-45.3,-24.0
146,4.93826666666667,2026:04:27 12:27:39.938Z,32.10248655923,35.2096865318451,49.8,-28.4,-1.5,-32.6,-45.3,-24.0
147,4.97163333333333,2026:04:27 12:27:39.972Z,32.10248655923,35.2096865318451,49.8,-28.4,-1.5,-32.6,-45.3,-24.0
148,5.005,2026:04:27 12:27:40.005Z,32.10248655923,35.2096865318451,49.8,-28.4,-1.5,-32.6,-45.3,-24.0
149,5.03836666666667,2026:04:27 12:27:40.038Z,32.1024886411288,35.209685010145,49.8,-28.5,-1.5,-32.6,-45.3,-24.0
150,5.07173333333333,2026:04:27 12:27:40.072Z,32.1024886411288,35.209685010145,49.8,-28.5,-1.5,-32.6,-45.3,-24.0
151,5.1051,2026:04:27 12:27:40.105Z,32.1024886411288,35.209685010145,49.8,-28.5,-1.5,-32.6,-45.3,-24.0
152,5.13846666666667,2026:04:27 12:27:40.138Z,32.1024906863224,35.209683536284,49.8,-28.4,-1.6,-32.6,-45.3,-24.0
153,5.17183333333333,2026:04:27 12:27:40.172Z,32.1024906863224,35.209683536284,49.8,-28.4,-1.6,-32.6,-45.3,-24.0
154,5.2052,2026:04:27 12:27:40.205Z,32.1024906863224,35.209683536284,49.8,-28.4,-1.6,-32.6,-45.3,-24.0
155,5.23856666666667,2026:04:27 12:27:40.239Z,32.1024928385986,35.2096819121745,49.8,-28.3,-1.5,-32.7,-45.3,-24.0
156,5.27193333333333,2026:04:27 12:27:40.272Z,32.1024928385986,35.2096819121745,49.8,-28.3,-1.5,-32.7,-45.3,-24.0
157,5.3053,2026:04:27 12:27:40.305Z,32.1024928385986,35.2096819121745,49.8,-28.3,-1.5,-32.7,-45.3,-24.0
158,5.33866666666667,2026:04:27 12:27:40.339Z,32.1024951827033,35.2096802115967,49.8,-28.0,-1.3,-32.7,-45.3,-24.0
159,5.37203333333333,2026:04:27 12:27:40.372Z,32.1024951827033,35.2096802115967,49.8,-28.0,-1.3,-32.7,-45.3,-24.0
160,5.4054,2026:04:27 12:27:40.405Z,32.1024951827033,35.2096802115967,49.8,-28.0,-1.3,-32.7,-45.3,-24.0
161,5.43876666666667,2026:04:27 12:27:40.439Z,32.1024983138196,35.2096777996453,49.8,-28.0,-1.4,-32.8,-45.3,-24.0
162,5.47213333333333,2026:04:27 12:27:40.472Z,32.1024983138196,35.2096777996453,49.8,-28.0,-1.4,-32.8,-45.3,-24.0
163,5.5055,2026:04:27 12:27:40.506Z,32.1024983138196,35.2096777996453,49.8,-28.0,-1.4,-32.8,-45.3,-24.0
164,5.53886666666667,2026:04:27 12:27:40.539Z,32.1025010900502,35.2096758142581,49.8,-28.0,-1.4,-32.7,-45.3,-24.0
165,5.57223333333333,2026:04:27 12:27:40.572Z,32.1025010900502,35.2096758142581,49.8,-28.0,-1.4,-32.7,-45.3,-24.0
166,5.6056,2026:04:27 12:27:40.606Z,32.1025010900502,35.2096758142581,49.8,-28.0,-1.4,-32.7,-45.3,-24.0
167,5.63896666666667,2026:04:27 12:27:40.639Z,32.1025045453617,35.2096732164577,49.8,-27.6,-1.2,-32.8,-45.3,-24.0
168,5.67233333333333,2026:04:27 12:27:40.672Z,32.1025045453617,35.2096732164577,49.8,-27.6,-1.2,-32.8,-45.3,-24.0
169,5.7057,2026:04:27 12:27:40.706Z,32.1025045453617,35.2096732164577,49.8,-27.6,-1.2,-32.8,-45.3,-24.0
170,5.73906666666667,2026:04:27 12:27:40.739Z,32.1025077738531,35.2096709208383,49.8,-27.4,-1.2,-32.8,-45.3,-24.0
171,5.77243333333333,2026:04:27 12:27:40.772Z,32.1025077738531,35.2096709208383,49.8,-27.4,-1.2,-32.8,-45.3,-24.0
172,5.8058,2026:04:27 12:27:40.806Z,32.1025077738531,35.2096709208383,49.8,-27.4,-1.2,-32.8,-45.3,-24.0
173,5.83916666666667,2026:04:27 12:27:40.839Z,32.102510996347,35.2096683230479,49.8,-27.7,-1.6,-32.8,-45.3,-24.0
174,5.87253333333333,2026:04:27 12:27:40.873Z,32.102510996347,35.2096683230479,49.8,-27.7,-1.6,-32.8,-45.3,-24.0
175,5.9059,2026:04:27 12:27:40.906Z,32.102510996347,35.2096683230479,49.8,-27.7,-1.6,-32.8,-45.3,-24.0
176,5.93926666666667,2026:04:27 12:27:40.939Z,32.1025146814688,35.2096656499297,49.8,-27.9,-1.5,-32.7,-45.3,-24.0
177,5.97263333333333,2026:04:27 12:27:40.973Z,32.1025146814688,35.2096656499297,49.8,-27.9,-1.5,-32.7,-45.3,-24.0
178,6.006,2026:04:27 12:27:41.006Z,32.1025146814688,35.2096656499297,49.8,-27.9,-1.5,-32.7,-45.3,-24.0
179,6.03936666666667,2026:04:27 12:27:41.039Z,32.1025193644174,35.2096624696701,49.8,-27.6,-1.3,-32.7,-45.3,-24.0
180,6.07273333333333,2026:04:27 12:27:41.073Z,32.1025193644174,35.2096624696701,49.8,-27.6,-1.3,-32.7,-45.3,-24.0
181,6.1061,2026:04:27 12:27:41.106Z,32.1025193644174,35.2096624696701,49.8,-27.6,-1.3,-32.7,-45.3,-24.0
182,6.13946666666667,2026:04:27 12:27:41.139Z,32.1025231045542,35.2096597980691,49.8,-27.1,-1.1,-32.7,-45.3,-24.0
183,6.17283333333333,2026:04:27 12:27:41.173Z,32.1025231045542,35.2096597980691,49.8,-27.1,-1.1,-32.7,-45.3,-24.0
